 Index             RefE       eigenvalue          overlap  overlap-squared           Total
     0    -3385.192239    -3231.009242          0.2392          0.0572          0.0572
     1    -3384.686604    -3231.009242          0.1242          0.0154          0.0726
     2    -3384.674259    -3231.009242          0.0867          0.0075          0.0801
     3    -3384.656828    -3231.009242         -0.0918          0.0084          0.0886
     4    -3384.166683    -3231.009242          0.0449          0.0020          0.0906
     5    -3384.151793    -3231.009242          0.0446          0.0020          0.0926
     6    -3384.137702    -3231.009242         -0.0366          0.0013          0.0939
     7    -3383.631600    -3231.009242         -0.0178          0.0003          0.0942
     8    -3324.092677    -3231.009242          0.3049          0.0930          0.1872
     9    -3323.716485    -3231.009242         -0.1532          0.0235          0.2107
    10    -3323.566754    -3231.009242          0.0669          0.0045          0.2152
    11    -3323.555854    -3231.009242          0.0829          0.0069          0.2220
    12    -3323.258184    -3231.009242         -0.0586          0.0034          0.2255
    13    -3323.211506    -3231.009242          0.0410          0.0017          0.2272
    14    -3323.110749    -3231.009242          0.0534          0.0029          0.2300
    15    -3323.049397    -3231.009242          0.0239          0.0006          0.2306
    16    -3322.791035    -3231.009242          0.0388          0.0015          0.2321
    17    -3322.780530    -3231.009242         -0.0796          0.0063          0.2384
    18    -3322.744266    -3231.009242         -0.0979          0.0096          0.2480
    19    -3322.694503    -3231.009242         -0.0135          0.0002          0.2482
    20    -3322.292629    -3231.009242         -0.0088          0.0001          0.2483
    21    -3322.282352    -3231.009242         -0.0491          0.0024          0.2507
    22    -3322.262426    -3231.009242         -0.0006          0.0000          0.2507
    23    -3321.807791    -3231.009242         -0.0192          0.0004          0.2510
    24    -3313.011776    -3231.009242         -0.0279          0.0008          0.2518
    25    -3312.159585    -3231.009242          0.0434          0.0019          0.2537
    26    -3311.430065    -3231.009242         -0.0825          0.0068          0.2605
    27    -3311.314435    -3231.009242         -0.0694          0.0048          0.2653
    28    -3310.174660    -3231.009242          0.1259          0.0159          0.2812
    29    -3309.915233    -3231.009242          0.0720          0.0052          0.2864
    30    -3309.898918    -3231.009242         -0.2602          0.0677          0.3540
    31    -3309.408416    -3231.009242          0.1365          0.0186          0.3727
    32    -3309.394598    -3231.009242         -0.1100          0.0121          0.3848
    33    -3309.348227    -3231.009242          0.2792          0.0779          0.4627
    34    -3309.271312    -3231.009242         -0.1123          0.0126          0.4754
    35    -3308.864037    -3231.009242         -0.2317          0.0537          0.5291
    36    -3308.830127    -3231.009242         -0.1419          0.0201          0.5492
    37    -3308.755980    -3231.009242         -0.1552          0.0241          0.5733
    38    -3308.204893    -3231.009242          0.1287          0.0166          0.5899
    39    -3306.604695    -3231.009242          0.3688          0.1360          0.7259
    40    -3294.964588    -3231.009242          0.0192          0.0004          0.7263
    41    -3294.649568    -3231.009242         -0.0076          0.0001          0.7263
    42    -3293.969085    -3231.009242         -0.0347          0.0012          0.7275
    43    -3293.461617    -3231.009242         -0.0527          0.0028          0.7303
    44    -3293.448363    -3231.009242         -0.0156          0.0002          0.7306
    45    -3289.206151    -3231.009242         -0.1036          0.0107          0.7413
    46    -3289.196026    -3231.009242          0.0647          0.0042          0.7455
    47    -3289.143893    -3231.009242         -0.0359          0.0013          0.7468
    48    -3286.850281    -3231.009242         -0.0289          0.0008          0.7476
