 Index             RefE       eigenvalue          overlap  overlap-squared            Total
     0    -3385.192239    -3277.090716          0.3784          0.1432          0.1432
     1    -3384.686604    -3277.090716          0.1961          0.0385          0.1816
     2    -3384.674259    -3277.090716          0.1097          0.0120          0.1937
     3    -3384.656828    -3277.090716         -0.1335          0.0178          0.2115
     4    -3384.166683    -3277.090716          0.0582          0.0034          0.2149
     5    -3384.151793    -3277.090716          0.0684          0.0047          0.2196
     6    -3384.137702    -3277.090716         -0.0389          0.0015          0.2211
     7    -3383.631600    -3277.090716         -0.0204          0.0004          0.2215
     8    -3324.092677    -3277.090716          0.2829          0.0801          0.3015
     9    -3323.716485    -3277.090716         -0.1172          0.0137          0.3153
    10    -3323.566754    -3277.090716          0.0698          0.0049          0.3202
    11    -3323.555854    -3277.090716          0.1183          0.0140          0.3341
    12    -3323.258184    -3277.090716         -0.4741          0.2248          0.5589
    13    -3323.211506    -3277.090716          0.0453          0.0021          0.5610
    14    -3323.110749    -3277.090716          0.0317          0.0010          0.5620
    15    -3323.049397    -3277.090716          0.0308          0.0009          0.5629
    16    -3322.791035    -3277.090716         -0.1371          0.0188          0.5817
    17    -3322.780530    -3277.090716          0.1493          0.0223          0.6040
    18    -3322.744266    -3277.090716         -0.2227          0.0496          0.6537
    19    -3322.694503    -3277.090716         -0.0143          0.0002          0.6539
    20    -3322.292629    -3277.090716          0.0476          0.0023          0.6561
    21    -3322.282352    -3277.090716          0.0488          0.0024          0.6585
    22    -3322.262426    -3277.090716          0.0863          0.0074          0.6659
    23    -3321.807791    -3277.090716          0.0236          0.0006          0.6665
    24    -3313.011776    -3277.090716         -0.0092          0.0001          0.6666
    25    -3312.159585    -3277.090716          0.0138          0.0002          0.6668
    26    -3311.430065    -3277.090716         -0.0488          0.0024          0.6692
    27    -3311.314435    -3277.090716         -0.0191          0.0004          0.6695
    28    -3310.174660    -3277.090716          0.0724          0.0052          0.6748
    29    -3309.915233    -3277.090716          0.0245          0.0006          0.6754
    30    -3309.898918    -3277.090716         -0.2398          0.0575          0.7329
    31    -3309.408416    -3277.090716         -0.0603          0.0036          0.7365
    32    -3309.394598    -3277.090716          0.0569          0.0032          0.7397
    33    -3309.348227    -3277.090716          0.1187          0.0141          0.7538
    34    -3309.271312    -3277.090716          0.2267          0.0514          0.8052
    35    -3308.864037    -3277.090716          0.0656          0.0043          0.8095
    36    -3308.830127    -3277.090716          0.0120          0.0001          0.8097
    37    -3308.755980    -3277.090716          0.0466          0.0022          0.8118
    38    -3308.204893    -3277.090716         -0.0147          0.0002          0.8121
    39    -3306.604695    -3277.090716          0.1998          0.0399          0.8520
    40    -3294.964588    -3277.090716          0.0150          0.0002          0.8522
    41    -3294.649568    -3277.090716         -0.0076          0.0001          0.8523
    42    -3293.969085    -3277.090716         -0.0116          0.0001          0.8524
    43    -3293.461617    -3277.090716         -0.0298          0.0009          0.8533
    44    -3293.448363    -3277.090716         -0.0082          0.0001          0.8534
    45    -3289.206151    -3277.090716         -0.0523          0.0027          0.8561
    46    -3289.196026    -3277.090716          0.0465          0.0022          0.8583
    47    -3289.143893    -3277.090716         -0.0347          0.0012          0.8595
    48    -3286.850281    -3277.090716         -0.0107          0.0001          0.8596
    49    -3286.578751    -3277.090716          0.0113          0.0001          0.8597
    50    -3286.101588    -3277.090716         -0.0320          0.0010          0.8607
    51    -3285.308482    -3277.090716          0.0399          0.0016          0.8623
    52    -3285.055310    -3277.090716         -0.0262          0.0007          0.8630
    53    -3284.898846    -3277.090716          0.1340          0.0180          0.8810
