 Index             RefE       eigenvalue          overlap  overlap-squared            Total
     0    -3385.192239    -3279.500088          0.3608          0.1302          0.1302
     1    -3384.686604    -3279.500088          0.1871          0.0350          0.1652
     2    -3384.674259    -3279.500088          0.1049          0.0110          0.1762
     3    -3384.656828    -3279.500088         -0.1275          0.0163          0.1925
     4    -3384.166683    -3279.500088          0.0553          0.0031          0.1955
     5    -3384.151793    -3279.500088          0.0650          0.0042          0.1997
     6    -3384.137702    -3279.500088         -0.0373          0.0014          0.2011
     7    -3383.631600    -3279.500088         -0.0193          0.0004          0.2015
     8    -3324.092677    -3279.500088          0.2311          0.0534          0.2549
     9    -3323.716485    -3279.500088         -0.0991          0.0098          0.2647
    10    -3323.566754    -3279.500088          0.0556          0.0031          0.2678
    11    -3323.555854    -3279.500088          0.0924          0.0085          0.2763
    12    -3323.258184    -3279.500088         -0.3630          0.1318          0.4081
    13    -3323.211506    -3279.500088          0.0376          0.0014          0.4095
    14    -3323.110749    -3279.500088          0.0268          0.0007          0.4103
    15    -3323.049397    -3279.500088          0.0236          0.0006          0.4108
    16    -3322.791035    -3279.500088         -0.1012          0.0102          0.4210
    17    -3322.780530    -3279.500088          0.1090          0.0119          0.4329
    18    -3322.744266    -3279.500088         -0.1856          0.0344          0.4674
    19    -3322.694503    -3279.500088         -0.0116          0.0001          0.4675
    20    -3322.292629    -3279.500088          0.0386          0.0015          0.4690
    21    -3322.282352    -3279.500088          0.0346          0.0012          0.4702
    22    -3322.262426    -3279.500088          0.0695          0.0048          0.4750
    23    -3321.807791    -3279.500088          0.0186          0.0003          0.4754
    24    -3313.011776    -3279.500088         -0.0089          0.0001          0.4754
    25    -3312.159585    -3279.500088          0.0137          0.0002          0.4756
    26    -3311.430065    -3279.500088         -0.0479          0.0023          0.4779
    27    -3311.314435    -3279.500088         -0.0181          0.0003          0.4782
    28    -3310.174660    -3279.500088          0.0719          0.0052          0.4834
    29    -3309.915233    -3279.500088          0.0255          0.0007          0.4841
    30    -3309.898918    -3279.500088         -0.4370          0.1910          0.6751
    31    -3309.408416    -3279.500088         -0.1434          0.0206          0.6956
    32    -3309.394598    -3279.500088          0.1204          0.0145          0.7101
    33    -3309.348227    -3279.500088          0.1094          0.0120          0.7221
    34    -3309.271312    -3279.500088          0.2882          0.0831          0.8052
