 Index             RefE       eigenvalue          overlap  overlap-squared            Total
     0    -3385.192239    -3345.946660          0.6700          0.4490          0.4490
     1    -3384.686604    -3345.946660          0.3596          0.1293          0.5783
     2    -3384.674259    -3345.946660          0.1961          0.0385          0.6167
     3    -3384.656828    -3345.946660         -0.2360          0.0557          0.6724
     4    -3384.166683    -3345.946660          0.1070          0.0115          0.6839
     5    -3384.151793    -3345.946660          0.1245          0.0155          0.6994
     6    -3384.137702    -3345.946660         -0.0696          0.0048          0.7042
     7    -3383.631600    -3345.946660         -0.0372          0.0014          0.7056
     8    -3324.092677    -3345.946660         -0.2226          0.0496          0.7552
     9    -3323.716485    -3345.946660          0.1061          0.0113          0.7664
    10    -3323.566754    -3345.946660         -0.0541          0.0029          0.7694
    11    -3323.555854    -3345.946660         -0.0865          0.0075          0.7768
    12    -3323.258184    -3345.946660          0.2812          0.0791          0.8559
    13    -3323.211506    -3345.946660         -0.0364          0.0013          0.8572
    14    -3323.110749    -3345.946660         -0.0302          0.0009          0.8581
    15    -3323.049397    -3345.946660         -0.0227          0.0005          0.8587
    16    -3322.791035    -3345.946660          0.0796          0.0063          0.8650
    17    -3322.780530    -3345.946660         -0.0842          0.0071          0.8721
    18    -3322.744266    -3345.946660          0.1427          0.0204          0.8924
    19    -3322.694503    -3345.946660          0.0117          0.0001          0.8926
    20    -3322.292629    -3345.946660         -0.0289          0.0008          0.8934
    21    -3322.282352    -3345.946660         -0.0273          0.0007          0.8942
    22    -3322.262426    -3345.946660         -0.0564          0.0032          0.8973
    23    -3321.807791    -3345.946660         -0.0146          0.0002          0.8976
    24    -3313.011776    -3345.946660          0.0020          0.0000          0.8976
    25    -3312.159585    -3345.946660         -0.0028          0.0000          0.8976
    26    -3311.430065    -3345.946660          0.0121          0.0001          0.8977
    27    -3311.314435    -3345.946660          0.0032          0.0000          0.8977
    28    -3310.174660    -3345.946660         -0.0177          0.0003          0.8980
    29    -3309.915233    -3345.946660         -0.0074          0.0001          0.8981
    30    -3309.898918    -3345.946660          0.2157          0.0465          0.9446
    31    -3309.408416    -3345.946660          0.0696          0.0048          0.9494
    32    -3309.394598    -3345.946660         -0.0573          0.0033          0.9527
    33    -3309.348227    -3345.946660         -0.0201          0.0004          0.9531
    34    -3309.271312    -3345.946660         -0.1349          0.0182          0.9713
    35    -3308.864037    -3345.946660         -0.0456          0.0021          0.9734
    36    -3308.830127    -3345.946660         -0.0185          0.0003          0.9738
    37    -3308.755980    -3345.946660         -0.0293          0.0009          0.9746
    38    -3308.204893    -3345.946660          0.0107          0.0001          0.9747
    39    -3306.604695    -3345.946660         -0.0615          0.0038          0.9785
    40    -3294.964588    -3345.946660          0.0005          0.0000          0.9785
    41    -3294.649568    -3345.946660         -0.0002          0.0000          0.9785
    42    -3293.969085    -3345.946660          0.0063          0.0000          0.9786
    43    -3293.461617    -3345.946660          0.0044          0.0000          0.9786
    44    -3293.448363    -3345.946660          0.0020          0.0000          0.9786
    45    -3289.206151    -3345.946660          0.0139          0.0002          0.9788
    46    -3289.196026    -3345.946660         -0.0005          0.0000          0.9788
    47    -3289.143893    -3345.946660         -0.0067          0.0000          0.9788
    48    -3286.850281    -3345.946660          0.0022          0.0000          0.9788
    49    -3286.578751    -3345.946660          0.0024          0.0000          0.9788
    50    -3286.101588    -3345.946660         -0.0002          0.0000          0.9788
    51    -3285.308482    -3345.946660         -0.0087          0.0001          0.9789
    52    -3285.055310    -3345.946660          0.0072          0.0001          0.9790
    53    -3284.898846    -3345.946660          0.0137          0.0002          0.9791
